"","term","estimate","std.error","statistic","p.value","Model"
"1","(Intercept)",7.4448051948052,0.350011296047974,21.2701855021981,1.42778779788793e-68,"Lineal"
"2","mes",-0.199310689310689,0.0475571702647567,-4.19097032479228,3.39150667430872e-05,"Lineal"
"3","(Intercept)",16.2826623376625,0.236802100691458,68.7606329931931,1.2132666385732e-229,"Cuadratico"
"4","mes",-3.98696375053521,0.0837515429206237,-47.6046603023647,1.12766928074273e-170,"Cuadratico"
"5","I(mes^2)",0.2913579277865,0.00627157402841859,46.4569064267216,5.92242414050085e-167,"Cuadratico"
