"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",37.285126167342,1.87762733725589,19.8575752640209,8.24179884532659e-19
"2","wt",-5.34447157272267,0.559101045099323,-9.55904414697211,1.29395870135053e-10
